"Sociedad","Periodo","Ejercicio","NªDocumento SAP","Division","Fecha Contable","Fech.Documento","Tip.Document","Tip.Comproba","  Numero Factura","Cod.Proveedor SAP","Nombre Proveedor","Pais Provee","      CUIT"," Importe Factura"," Percepción IIBB","Total Otros Impues","  Base Imponible","Indicado"," Tasa IVA","   Importe IVA","Exento 7 No Imponi","Importe Percepción","Importe Ret. IVA T","Moneda"
"  AR01","6","2022","1100003766","160","  17.06.2022","  28.03.2022","     FA","     A","  0011A00195818","40240","MAILCAR SRL","    AR","30705463367","3,935.60","28.12","28.12","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100003837","160","  02.06.2022","  25.03.2022","     FA","     A","  9407A04620802","33525","CERVECERIA Y MALT.QUILMES S.A.","    AR","33508358259","10,015.84","241.35","241.35","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100005716","5433","  15.06.2022","  26.04.2022","     FA","     A","  0609A00564658","33957","COCA COLA FEMSA DE BS AS S.A.","    AR","30525390086","69,862.84","1,670.00","1,670.00","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006027","160","  01.06.2022","  06.05.2022","     FA","     A","  0016A00133147","33991","TAMALLANCOS S.A.","    AR","33643235949","5,843.80","47.9","47.9","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006047","5430","  01.06.2022","  27.04.2022","     FA","     A","  0002A00321015","33979","PASTA FACTORY S.A.","    AR","30661070559","3,691.58","89.31","89.31","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006048","5435","  01.06.2022","  27.04.2022","     FA","     A","  0002A00321016","33979","PASTA FACTORY S.A.","    AR","30661070559","27,905.73","675.13","675.13","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006049","5435","  01.06.2022","  28.04.2022","     FA","     A","  0002A00321172","33979","PASTA FACTORY S.A.","    AR","30661070559","10,693.76","258.72","258.72","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006050","162","  01.06.2022","  29.04.2022","     FA","     A","  0002A00321293","33979","PASTA FACTORY S.A.","    AR","30661070559","5,515.57","133.44","133.44","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006051","160","  01.06.2022","  02.05.2022","     FA","     A","  0002A00321560","33979","PASTA FACTORY S.A.","    AR","30661070559","7,802.41","188.77","188.77","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006052","161","  01.06.2022","  03.05.2022","     FA","     A","  0002A00321684","33979","PASTA FACTORY S.A.","    AR","30661070559","7,476.42","180.89","180.89","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006053","160","  01.06.2022","  25.04.2022","     FA","     A","  0002A00320761","33979","PASTA FACTORY S.A.","    AR","30661070559","3,208.14","77.62","77.62","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006054","5430","  01.06.2022","  25.04.2022","     FA","     A","  0002A00320760","33979","PASTA FACTORY S.A.","    AR","30661070559","3,236.15","78.29","78.29","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006055","162","  01.06.2022","  26.04.2022","     FA","     A","  0002A00320888","33979","PASTA FACTORY S.A.","    AR","30661070559","3,989.43","96.52","96.52","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006056","5433","  01.06.2022","  27.04.2022","     FA","     A","  0002A00321014","33979","PASTA FACTORY S.A.","    AR","30661070559","8,435.53","204.09","204.09","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006057","5435","  01.06.2022","  04.05.2022","     FA","     A","  0002A00321817","33979","PASTA FACTORY S.A.","    AR","30661070559","6,429.90","155.56","155.56","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006058","5433","  01.06.2022","  04.05.2022","     FA","     A","  0002A00321818","33979","PASTA FACTORY S.A.","    AR","30661070559","8,541.02","206.64","206.64","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006090","162","  01.06.2022","  09.05.2022","     FA","     A","  0040A00029765","34040","VOLF S.A","    AR","30504363879","28,595.85","234.39","234.39","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006112","5433","  01.06.2022","  04.05.2022","     FA","     A","  0006A00579717","34054","OTI ALIMENTOS S.A.","    AR","33707336469","18,196.00","155","155","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006113","5433","  01.06.2022","  21.04.2022","     FA","     A","  0006A00576779","34054","OTI ALIMENTOS S.A.","    AR","33707336469","8,735.63","74.25","74.25","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006114","5433","  01.06.2022","  26.04.2022","     FA","     A","  0006A00577801","34054","OTI ALIMENTOS S.A.","    AR","33707336469","14,762.00","126.25","126.25","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006115","5433","  01.06.2022","  28.04.2022","     FA","     A","  0006A00578529","34054","OTI ALIMENTOS S.A.","    AR","33707336469","15,542.50","133.25","133.25","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006117","5435","  01.06.2022","  23.04.2022","     FA","     A","  0006A00577344","34054","OTI ALIMENTOS S.A.","    AR","33707336469","6,801.50","61","61","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006118","5435","  01.06.2022","  23.04.2022","     FA","     A","  0006A00577418","34054","OTI ALIMENTOS S.A.","    AR","33707336469","13,267.50","108.75","108.75","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006119","5435","  01.06.2022","  27.04.2022","     FA","     A","  0006A00578227","34054","OTI ALIMENTOS S.A.","    AR","33707336469","20,069.00","169.75","169.75","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006120","5435","  01.06.2022","  28.04.2022","     FA","     A","  0006A00578426","34054","OTI ALIMENTOS S.A.","    AR","33707336469","25,778.00","223","223","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006121","5435","  01.06.2022","  04.05.2022","     FA","     A","  0006A00579918","34054","OTI ALIMENTOS S.A.","    AR","33707336469","8,195.25","73.5","73.5","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006122","5430","  01.06.2022","  22.04.2022","     FA","     A","  0006A00577180","34054","OTI ALIMENTOS S.A.","    AR","33707336469","11,150.00","100","100","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006123","5430","  01.06.2022","  26.04.2022","     FA","     A","  0006A00577802","34054","OTI ALIMENTOS S.A.","    AR","33707336469","18,910.00","165.5","165.5","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006124","5430","  01.06.2022","  28.04.2022","     FA","     A","  0006A00578386","34054","OTI ALIMENTOS S.A.","    AR","33707336469","10,614.00","87","87","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006142","162","  01.06.2022","  09.05.2022","     FA","     A","  0016A00133193","33991","TAMALLANCOS S.A.","    AR","33643235949","39,662.20","325.1","325.1","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006151","5435","  01.06.2022","  03.05.2022","     FA","     A","  0016A00133026","33991","TAMALLANCOS S.A.","    AR","33643235949","41,943.60","343.8","343.8","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006173","161","  01.06.2022","  06.05.2022","     FA","     A","  0015A00134538","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","10,137.02","83.09","83.09","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006175","162","  01.06.2022","  06.05.2022","     FA","     A","  0013A00111513","33987","SERVIFRIO S.A.","    AR","30699661054","15,887.65","130.23","130.23","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006176","162","  01.06.2022","  09.05.2022","     FA","     A","  0003A00525567","33996","ICEDREAM SRL","    AR","30657813865","13,150.45","318.16","318.16","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006178","161","  01.06.2022","  02.05.2022","     FA","     A","  0013A00110677","33987","SERVIFRIO S.A.","    AR","30699661054","15,960.00","132.62","132.62","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006179","161","  01.06.2022","  27.04.2022","     FA","     A","  0013A00110071","33987","SERVIFRIO S.A.","    AR","30699661054","23,240.11","190.49","190.49","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006185","5433","  01.06.2022","  03.05.2022","     FA","     A","  0015A00133875","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","30,025.50","246.11","246.11","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006186","5433","  01.06.2022","  26.04.2022","     FA","     A","  0015A00132584","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","11,659.99","96.98","96.98","0","   P1","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006187","5433","  01.06.2022","  02.05.2022","     FA","     A","  0013A00110550","33987","SERVIFRIO S.A.","    AR","30699661054","45,905.60","378.08","378.08","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006188","5433","  01.06.2022","  26.04.2022","     FA","     A","  0013A00109779","33987","SERVIFRIO S.A.","    AR","30699661054","19,355.65","158.65","158.65","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006189","5433","  01.06.2022","  02.05.2022","     FA","     A","  0003A00523472","33996","ICEDREAM SRL","    AR","30657813865","36,800.72","890.34","890.34","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006190","5433","  01.06.2022","  26.04.2022","     FA","     A","  0003A00521750","33996","ICEDREAM SRL","    AR","30657813865","40,225.04","973.18","973.18","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006194","5435","  01.06.2022","  04.05.2022","     FA","     A","  0015A00134070","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","9,946.31","83.62","83.62","0","   P1","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006195","5435","  01.06.2022","  02.05.2022","     FA","     A","  0015A00133455","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","32,225.13","264.14","264.14","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006196","5435","  01.06.2022","  27.04.2022","     FA","     A","  0015A00132886","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","9,180.06","76.65","76.65","0","   P1","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006197","5435","  01.06.2022","  03.05.2022","     FA","     A","  0015A00133871","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","16,597.19","139.19","139.19","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006198","5435","  01.06.2022","  05.05.2022","     FA","     A","  0015A00134279","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","14,439.61","118.36","118.36","0","   P1","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006199","5435","  01.06.2022","  04.05.2022","     FA","     A","  0013A00111041","33987","SERVIFRIO S.A.","    AR","30699661054","755.03","6.19","6.19","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006200","5435","  01.06.2022","  27.04.2022","     FA","     A","  0013A00110067","33987","SERVIFRIO S.A.","    AR","30699661054","28,521.91","233.79","233.79","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006201","5435","  01.06.2022","  02.05.2022","     FA","     A","  0013A00110543","33987","SERVIFRIO S.A.","    AR","30699661054","49,667.81","410.31","410.31","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006202","5430","  01.06.2022","  03.05.2022","     FA","     A","  0013A00110817","33987","SERVIFRIO S.A.","    AR","30699661054","6,999.47","60.57","60.57","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006203","5430","  01.06.2022","  02.05.2022","     FA","     A","  0003A00523455","33996","ICEDREAM SRL","    AR","30657813865","12,228.51","295.85","295.85","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006205","5430","  01.06.2022","  30.04.2022","     FA","     A","  0003A00523172","33996","ICEDREAM SRL","    AR","30657813865","9,429.15","228.12","228.12","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006207","5430","  01.06.2022","  06.05.2022","     FA","     A","  0003A00524816","33996","ICEDREAM SRL","    AR","30657813865","23,121.78","559.4","559.4","0","   P1","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006208","5430","  01.06.2022","  06.05.2022","     FA","     A","  0013A00111419","33987","SERVIFRIO S.A.","    AR","30699661054","8,911.72","73.05","73.05","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006209","5430","  01.06.2022","  28.04.2022","     FA","     A","  0015A00133031","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","734.34","6.02","6.02","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006213","5430","  01.06.2022","  02.05.2022","     FA","     A","  0013A00110652","33987","SERVIFRIO S.A.","    AR","30699661054","5,803.54","47.57","47.57","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006214","5430","  01.06.2022","  06.05.2022","     FA","     A","  0015A00134525","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","6,967.38","57.98","57.98","0","   P1","0","0","0.01","0","0"," ARS"
"  AR01","6","2022","1100006215","5430","  01.06.2022","  02.05.2022","     FA","     A","  0015A00133594","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","5,870.02","50.21","50.21","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006216","5430","  01.06.2022","  02.05.2022","     FA","     A","  0015A00133438","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","28,951.53","237.31","237.31","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006217","5430","  01.06.2022","  02.05.2022","     FA","     A","  0013A00110529","33987","SERVIFRIO S.A.","    AR","30699661054","22,767.08","186.62","186.62","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006218","5430","  01.06.2022","  02.05.2022","     FA","     A","  0013A00110530","33987","SERVIFRIO S.A.","    AR","30699661054","18,936.18","155.21","155.21","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006219","161","  01.06.2022","  26.04.2022","     FA","     A","  0015A00132591","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","3,501.65","28.7","28.7","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006220","161","  01.06.2022","  27.04.2022","     FA","     A","  0015A00132892","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","2,592.91","21.25","21.25","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006253","160","  01.06.2022","  10.05.2022","     FA","     A","  0016A00133240","33991","TAMALLANCOS S.A.","    AR","33643235949","2,440.00","20","20","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006300","5435","  01.06.2022","  06.05.2022","     FA","     A","  9407A04679337","33525","CERVECERIA Y MALT.QUILMES S.A.","    AR","33508358259","21,238.76","511.37","511.37","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006303","5435","  01.06.2022","  28.04.2022","     FA","     A","  0003A00522521","33996","ICEDREAM SRL","    AR","30657813865","56,460.61","1,365.98","1,365.98","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006304","5435","  01.06.2022","  26.04.2022","     FA","     A","  0003A00521947","33996","ICEDREAM SRL","    AR","30657813865","14,842.55","359.09","359.09","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006305","5435","  01.06.2022","  04.05.2022","     FA","     A","  0015A00134071","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","2,989.25","24.5","24.5","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006807","164","  01.06.2022","  09.05.2022","     FA","     A","  0010A00063895","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","37,579.66","308.03","308.03","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006808","164","  01.06.2022","  11.04.2022","     FA","     A","  0010A00063505","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","37,579.66","308.03","308.03","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006809","160","  01.06.2022","  11.04.2022","     FA","     A","  0010A00063510","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","50,792.26","416.33","416.33","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006814","5435","  01.06.2022","  12.05.2022","     FA","     A","  0010A00063989","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","50,792.26","416.33","416.33","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006815","5430","  01.06.2022","  12.05.2022","     FA","     A","  0010A00063990","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","11,840.10","97.05","97.05","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006816","160","  01.06.2022","  12.05.2022","     FA","     A","  0010A00063997","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","50,792.26","416.33","416.33","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006817","163","  01.06.2022","  12.05.2022","     FA","     A","  0010A00063992","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","68,895.84","564.72","564.72","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006829","9509","  01.06.2022","  19.05.2022","     FA","     A","  0010A00006197","71448","CENTRO DE DISTRIBUCION SUR SRL","    AR","30709531960","12,196.46","99.97","99.97","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006830","161","  01.06.2022","  19.05.2022","     FA","     A","  0010A00006202","71448","CENTRO DE DISTRIBUCION SUR SRL","    AR","30709531960","38,171.12","312.88","312.88","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006889","5433","  01.06.2022","  26.04.2022","     FA","     A","  0003A00052235","50353","WINE CO SA","    AR","30715311913","19,046.13","156.12","156.12","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006890","162","  01.06.2022","  09.05.2022","     FA","     A","  0002A00322409","33979","PASTA FACTORY S.A.","    AR","30661070559","3,883.38","93.95","93.95","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006891","5430","  01.06.2022","  09.05.2022","     FA","     A","  0002A00322408","33979","PASTA FACTORY S.A.","    AR","30661070559","2,720.31","65.81","65.81","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006892","5433","  01.06.2022","  11.05.2022","     FA","     A","  0013A00112161","33987","SERVIFRIO S.A.","    AR","30699661054","33,641.69","279.81","279.81","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006893","160","  01.06.2022","  16.05.2022","     FA","     A","  0003A00527583","33996","ICEDREAM SRL","    AR","30657813865","54,533.89","1,103.92","1,103.92","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006894","160","  01.06.2022","  16.05.2022","     FA","     A","  0013A00112724","33987","SERVIFRIO S.A.","    AR","30699661054","12,569.76","103.03","103.03","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006895","160","  01.06.2022","  13.05.2022","     FA","     A","  0013A00112569","33987","SERVIFRIO S.A.","    AR","30699661054","5,187.54","42.52","42.52","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006896","160","  01.06.2022","  16.05.2022","     FA","     A","  0013A00112856","33987","SERVIFRIO S.A.","    AR","30699661054","10,422.58","89.52","89.52","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006897","160","  01.06.2022","  16.05.2022","     FA","     A","  0015A00136233","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","10,266.86","84.15","84.15","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006898","160","  01.06.2022","  17.05.2022","     FA","     A","  0015A00136437","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","11,189.69","91.72","91.72","0","   P1","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006899","160","  01.06.2022","  16.05.2022","     FA","     A","  0015A00136070","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","6,517.88","53.43","53.43","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006906","5433","  01.06.2022","  12.05.2022","     FA","     A","  0003A00526661","33996","ICEDREAM SRL","    AR","30657813865","54,053.58","1,307.75","1,307.75","0","   P1","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006907","5433","  01.06.2022","  16.05.2022","     FA","     A","  0003A00527581","33996","ICEDREAM SRL","    AR","30657813865","22,334.48","452.11","452.11","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007028","5435","  01.06.2022","  10.05.2022","     FA","     A","  0031A00018971","33976","EL FUNDADOR S.A.","    AR","30501117230","12,961.28","106.24","106.24","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007029","5435","  01.06.2022","  19.05.2022","     FA","     A","  5002A01299622","34098","AGUAS DANONE DE ARGENTINA S.A.","    AR","30517050225","0","1,049.38","1,049.38","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007030","5435","  01.06.2022","  19.05.2022","     FA","     A","  0005A00053046","33961","DANIEL A .CHOZAS SACIF","    AR","30530976757","12,049.89","98.77","98.77","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007031","5435","  01.06.2022","  19.05.2022","     FA","     A","  0015A00136787","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","18,554.24","152.08","152.08","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007032","5435","  01.06.2022","  11.05.2022","     FA","     A","  0015A00135312","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","6,482.30","53.13","53.13","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007033","5435","  01.06.2022","  10.05.2022","     FA","     A","  0015A00135152","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","9,660.02","79.18","79.18","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007034","5435","  01.06.2022","  13.05.2022","     FA","     A","  0003A00526957","33996","ICEDREAM SRL","    AR","30657813865","20,975.73","424.61","424.61","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007036","5435","  01.06.2022","  10.05.2022","     FA","     A","  0013A00111936","33987","SERVIFRIO S.A.","    AR","30699661054","37,358.42","309.24","309.24","0","   P1","0","0","0.01","0","0"," ARS"
"  AR01","6","2022","1100007037","5435","  01.06.2022","  16.05.2022","     FA","     A","  0013A00112684","33987","SERVIFRIO S.A.","    AR","30699661054","32,364.04","269.14","269.14","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007039","5435","  01.06.2022","  10.05.2022","     FA","     A","  0003A00525971","33996","ICEDREAM SRL","    AR","30657813865","41,046.36","993.06","993.06","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007040","5435","  01.06.2022","  19.05.2022","     FA","     A","  0003A00528186","33996","ICEDREAM SRL","    AR","30657813865","42,722.73","864.83","864.83","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007051","5430","  01.06.2022","  12.05.2022","     FA","     A","  0013A00112276","33987","SERVIFRIO S.A.","    AR","30699661054","23,851.72","197.52","197.52","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007052","5430","  01.06.2022","  12.05.2022","     FA","     A","  0015A00135568","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","9,843.78","83.83","83.83","0","   P1","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100007053","5430","  01.06.2022","  11.05.2022","     FA","     A","  0013A00112063","33987","SERVIFRIO S.A.","    AR","30699661054","6,993.03","57.32","57.32","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007054","5430","  01.06.2022","  16.05.2022","     FA","     A","  0015A00136003","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","13,188.20","108.1","108.1","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007055","5430","  01.06.2022","  19.05.2022","     FA","     A","  0013A00113226","33987","SERVIFRIO S.A.","    AR","30699661054","15,554.84","127.5","127.5","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007056","5430","  01.06.2022","  19.05.2022","     FA","     A","  0015A00136773","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","19,641.04","164.27","164.27","0","   P1","0","0","0.01","0","0"," ARS"
"  AR01","6","2022","1100007057","5430","  01.06.2022","  19.05.2022","     FA","     A","  0015A00136774","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","5,089.05","42.65","42.65","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007058","5430","  01.06.2022","  10.05.2022","     FA","     A","  0015A00135143","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","6,681.47","54.77","54.77","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007060","5430","  01.06.2022","  17.05.2022","     FA","     A","  0019A00038659","33997","TODOACEITE S.A","    AR","30609267352","29,280.00","240","240","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007062","5430","  01.06.2022","  16.05.2022","     FA","     A","  0003A00527761","33996","ICEDREAM SRL","    AR","30657813865","20,873.60","422.54","422.54","0","   P1","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100007063","5430","  01.06.2022","  10.05.2022","     FA","     A","  0003A00525978","33996","ICEDREAM SRL","    AR","30657813865","2,137.26","51.71","51.71","0","   P1","0","0","-0.01","0","0"," ARS"
